r,t,y,NewCapacity
RE1,PHL_AGR_HEAT_OIL,2025,0
RE1,PHL_AGR_HEAT_OIL,2026,0
RE1,PHL_AGR_HEAT_OIL,2027,0
RE1,PHL_AGR_HEAT_OIL,2028,0
RE1,PHL_AGR_HEAT_OIL,2029,0
RE1,PHL_AGR_HEAT_OIL,2030,0
RE1,PHL_AGR_HEAT_OIL,2031,0
RE1,PHL_AGR_HEAT_OIL,2032,0
RE1,PHL_AGR_HEAT_OIL,2033,0
RE1,PHL_AGR_HEAT_OIL,2034,0
RE1,PHL_AGR_HEAT_OIL,2035,0
RE1,PHL_AGR_HEAT_OIL,2036,0
RE1,PHL_AGR_HEAT_OIL,2037,0
RE1,PHL_AGR_HEAT_OIL,2038,0
RE1,PHL_AGR_HEAT_OIL,2039,0
RE1,PHL_AGR_HEAT_OIL,2040,0
RE1,PHL_AGR_HEAT_OIL,2041,0
RE1,PHL_AGR_HEAT_OIL,2042,0
RE1,PHL_AGR_HEAT_OIL,2043,0
RE1,PHL_AGR_HEAT_OIL,2044,0
RE1,PHL_AGR_HEAT_OIL,2045,0
RE1,PHL_AGR_HEAT_OIL,2046,0
RE1,PHL_AGR_HEAT_OIL,2047,0
RE1,PHL_AGR_HEAT_OIL,2048,0
RE1,PHL_AGR_HEAT_OIL,2049,0
RE1,PHL_AGR_HEAT_OIL,2050,0
RE1,PHL_AGR_HEAT_OIL,2051,0
RE1,PHL_AGR_HEAT_OIL,2052,0
RE1,PHL_AGR_HEAT_OIL,2053,0
RE1,PHL_AGR_HEAT_NG,2020,0.315
RE1,PHL_AGR_HEAT_NG,2021,0.0129
RE1,PHL_AGR_HEAT_NG,2022,0.0089
RE1,PHL_AGR_HEAT_NG,2023,0.0089
RE1,PHL_AGR_HEAT_NG,2024,0.0089
RE1,PHL_AGR_HEAT_NG,2025,0.0089
RE1,PHL_AGR_HEAT_NG,2026,0.0096
RE1,PHL_AGR_HEAT_NG,2027,0.0096
RE1,PHL_AGR_HEAT_NG,2028,0.0096
RE1,PHL_AGR_HEAT_NG,2029,0.0096
RE1,PHL_AGR_HEAT_NG,2030,0.0096
RE1,PHL_AGR_HEAT_NG,2031,0.0108
RE1,PHL_AGR_HEAT_NG,2032,0.0108
RE1,PHL_AGR_HEAT_NG,2033,0.0108
RE1,PHL_AGR_HEAT_NG,2034,0.0108
RE1,PHL_AGR_HEAT_NG,2035,0.0108
RE1,PHL_AGR_HEAT_NG,2036,0.0127
RE1,PHL_AGR_HEAT_NG,2037,0.0127
RE1,PHL_AGR_HEAT_NG,2038,0.0127
RE1,PHL_AGR_HEAT_NG,2039,0.0127
RE1,PHL_AGR_HEAT_NG,2040,0.0088
RE1,PHL_AGR_HEAT_NG,2041,0
RE1,PHL_AGR_HEAT_NG,2042,0
RE1,PHL_AGR_HEAT_NG,2043,0
RE1,PHL_AGR_HEAT_NG,2044,0
RE1,PHL_AGR_HEAT_NG,2045,0.1645
RE1,PHL_AGR_HEAT_NG,2046,0
RE1,PHL_AGR_HEAT_NG,2047,0
RE1,PHL_AGR_HEAT_NG,2048,0
RE1,PHL_AGR_HEAT_NG,2049,0
RE1,PHL_AGR_HEAT_NG,2050,0.3935
RE1,PHL_AGR_HEAT_NG,2051,0.0273
RE1,PHL_AGR_HEAT_NG,2052,0.0273
RE1,PHL_AGR_HEAT_NG,2053,0.0273
RE1,PHL_AGR_HEAT_ELE,2020,0
RE1,PHL_AGR_HEAT_ELE,2021,0
RE1,PHL_AGR_HEAT_ELE,2022,0
RE1,PHL_AGR_HEAT_ELE,2023,0
RE1,PHL_AGR_HEAT_ELE,2024,0
RE1,PHL_AGR_HEAT_ELE,2025,0
RE1,PHL_AGR_HEAT_ELE,2026,0
RE1,PHL_AGR_HEAT_ELE,2027,0
RE1,PHL_AGR_HEAT_ELE,2028,0
RE1,PHL_AGR_HEAT_ELE,2029,0
RE1,PHL_AGR_HEAT_ELE,2030,0
RE1,PHL_AGR_HEAT_ELE,2031,0
RE1,PHL_AGR_HEAT_ELE,2032,0
RE1,PHL_AGR_HEAT_ELE,2033,0
RE1,PHL_AGR_HEAT_ELE,2034,0
RE1,PHL_AGR_HEAT_ELE,2035,0
RE1,PHL_AGR_HEAT_ELE,2036,0
RE1,PHL_AGR_HEAT_ELE,2037,0
RE1,PHL_AGR_HEAT_ELE,2038,0
RE1,PHL_AGR_HEAT_ELE,2039,0
RE1,PHL_AGR_HEAT_ELE,2040,0
RE1,PHL_AGR_HEAT_ELE,2041,0
RE1,PHL_AGR_HEAT_ELE,2042,0
RE1,PHL_AGR_HEAT_ELE,2043,0
RE1,PHL_AGR_HEAT_ELE,2044,0
RE1,PHL_AGR_HEAT_ELE,2045,0
RE1,PHL_AGR_HEAT_ELE,2046,0
RE1,PHL_AGR_HEAT_ELE,2047,0
RE1,PHL_AGR_HEAT_ELE,2048,0
RE1,PHL_AGR_HEAT_ELE,2049,0
RE1,PHL_AGR_HEAT_ELE,2050,0
RE1,PHL_AGR_HEAT_ELE,2051,0
RE1,PHL_AGR_HEAT_ELE,2052,0
RE1,PHL_AGR_HEAT_ELE,2053,0
RE1,PHL_AGR_HEAT_COAL,2020,0
RE1,PHL_AGR_HEAT_COAL,2021,0
RE1,PHL_AGR_HEAT_COAL,2022,0
RE1,PHL_AGR_HEAT_COAL,2023,0
RE1,PHL_AGR_HEAT_COAL,2024,0
RE1,PHL_AGR_HEAT_COAL,2025,0
RE1,PHL_AGR_HEAT_COAL,2026,0
RE1,PHL_AGR_HEAT_COAL,2027,0
RE1,PHL_AGR_HEAT_COAL,2028,0
RE1,PHL_AGR_HEAT_COAL,2029,0
RE1,PHL_AGR_HEAT_COAL,2030,0
RE1,PHL_AGR_HEAT_COAL,2031,0
RE1,PHL_AGR_HEAT_COAL,2032,0
RE1,PHL_AGR_HEAT_COAL,2033,0
RE1,PHL_AGR_HEAT_COAL,2034,0
RE1,PHL_AGR_HEAT_COAL,2035,0
RE1,PHL_AGR_HEAT_COAL,2036,0
RE1,PHL_AGR_HEAT_COAL,2037,0
RE1,PHL_AGR_HEAT_COAL,2038,0
RE1,PHL_AGR_HEAT_COAL,2039,0
RE1,PHL_AGR_HEAT_COAL,2040,0
RE1,PHL_AGR_HEAT_COAL,2041,0
RE1,PHL_AGR_HEAT_COAL,2042,0
RE1,PHL_AGR_HEAT_COAL,2043,0
RE1,PHL_AGR_HEAT_COAL,2044,0
RE1,PHL_AGR_HEAT_COAL,2045,0
RE1,PHL_AGR_HEAT_COAL,2046,0
RE1,PHL_AGR_HEAT_COAL,2047,0
RE1,PHL_AGR_HEAT_COAL,2048,0
RE1,PHL_AGR_HEAT_COAL,2049,0
RE1,PHL_AGR_HEAT_COAL,2050,0
RE1,PHL_AGR_HEAT_COAL,2051,0
RE1,PHL_AGR_HEAT_COAL,2052,0
RE1,PHL_AGR_HEAT_COAL,2053,0
RE1,PHL_AGR_HEAT_BIOM,2020,0.0039
RE1,PHL_AGR_HEAT_BIOM,2021,0
RE1,PHL_AGR_HEAT_BIOM,2022,0
RE1,PHL_AGR_HEAT_BIOM,2023,0
RE1,PHL_AGR_HEAT_BIOM,2024,0
RE1,PHL_AGR_HEAT_BIOM,2025,0
RE1,PHL_AGR_HEAT_BIOM,2026,0
RE1,PHL_AGR_HEAT_BIOM,2027,0
RE1,PHL_AGR_HEAT_BIOM,2028,0
RE1,PHL_AGR_HEAT_BIOM,2029,0
RE1,PHL_AGR_HEAT_BIOM,2030,0
RE1,PHL_AGR_HEAT_BIOM,2031,0
RE1,PHL_AGR_HEAT_BIOM,2032,0
RE1,PHL_AGR_HEAT_BIOM,2033,0
RE1,PHL_AGR_HEAT_BIOM,2034,0
RE1,PHL_AGR_HEAT_BIOM,2035,0
RE1,PHL_AGR_HEAT_BIOM,2036,0
RE1,PHL_AGR_HEAT_BIOM,2037,0
RE1,PHL_AGR_HEAT_BIOM,2038,0
RE1,PHL_AGR_HEAT_BIOM,2039,0
RE1,PHL_AGR_HEAT_BIOM,2040,0
RE1,PHL_AGR_HEAT_BIOM,2041,0
RE1,PHL_AGR_HEAT_BIOM,2042,0
RE1,PHL_AGR_HEAT_BIOM,2043,0
RE1,PHL_AGR_HEAT_BIOM,2044,0
RE1,PHL_AGR_HEAT_BIOM,2045,0
RE1,PHL_AGR_HEAT_BIOM,2046,0
RE1,PHL_AGR_HEAT_BIOM,2047,0
RE1,PHL_AGR_HEAT_BIOM,2048,0
RE1,PHL_AGR_HEAT_BIOM,2049,0
RE1,PHL_AGR_HEAT_BIOM,2050,0
RE1,PHL_AGR_HEAT_BIOM,2051,0
RE1,PHL_AGR_HEAT_BIOM,2052,0
RE1,PHL_AGR_HEAT_BIOM,2053,0
RE1,PHL_POW_CHP_NG_OLD,2020,0
RE1,PHL_POW_CHP_NG_OLD,2021,0
RE1,PHL_POW_CHP_NG_OLD,2022,0
RE1,PHL_POW_CHP_NG_OLD,2023,0
RE1,PHL_POW_CHP_NG_OLD,2024,0
RE1,PHL_POW_CHP_NG_OLD,2025,0
RE1,PHL_POW_CHP_NG_OLD,2026,0
RE1,PHL_POW_CHP_NG_OLD,2027,0
RE1,PHL_POW_CHP_NG_OLD,2028,0
RE1,PHL_POW_CHP_NG_OLD,2029,0
RE1,PHL_POW_CHP_NG_OLD,2030,0
RE1,PHL_POW_CHP_NG_OLD,2031,0
RE1,PHL_POW_CHP_NG_OLD,2032,0
RE1,PHL_POW_CHP_NG_OLD,2033,0
RE1,PHL_POW_CHP_NG_OLD,2034,0
RE1,PHL_POW_CHP_NG_OLD,2035,0
RE1,PHL_POW_CHP_NG_OLD,2036,0
RE1,PHL_POW_CHP_NG_OLD,2037,0
RE1,PHL_POW_CHP_NG_OLD,2038,0
RE1,PHL_POW_CHP_NG_OLD,2039,0
RE1,PHL_POW_CHP_NG_OLD,2040,0
RE1,PHL_POW_CHP_NG_OLD,2041,0
RE1,PHL_POW_CHP_NG_OLD,2042,0
RE1,PHL_POW_CHP_NG_OLD,2043,0
RE1,PHL_POW_CHP_NG_OLD,2044,0
RE1,PHL_POW_CHP_NG_OLD,2045,0
RE1,PHL_POW_CHP_NG_OLD,2046,0
RE1,PHL_POW_CHP_NG_OLD,2047,0
RE1,PHL_POW_CHP_NG_OLD,2048,0
RE1,PHL_POW_CHP_NG_OLD,2049,0
RE1,PHL_POW_CHP_NG_OLD,2050,0
RE1,PHL_POW_CHP_NG_OLD,2051,0
RE1,PHL_POW_CHP_NG_OLD,2052,0
RE1,PHL_POW_CHP_NG_OLD,2053,0
RE1,PHL_POW_CHP_OIL_OLD,2020,0
RE1,PHL_POW_CHP_OIL_OLD,2021,0.1798
RE1,PHL_POW_CHP_OIL_OLD,2022,0.0973
RE1,PHL_POW_CHP_OIL_OLD,2023,0
RE1,PHL_POW_CHP_OIL_OLD,2024,0.0112
RE1,PHL_POW_CHP_OIL_OLD,2025,0
RE1,PHL_POW_CHP_OIL_OLD,2026,0
RE1,PHL_POW_CHP_OIL_OLD,2027,0
RE1,PHL_POW_CHP_OIL_OLD,2028,0
RE1,PHL_POW_CHP_OIL_OLD,2029,0
RE1,PHL_POW_CHP_OIL_OLD,2030,0
RE1,PHL_POW_CHP_OIL_OLD,2031,0
RE1,PHL_POW_CHP_OIL_OLD,2032,0
RE1,PHL_POW_CHP_OIL_OLD,2033,0
RE1,PHL_POW_CHP_OIL_OLD,2034,0
RE1,PHL_POW_CHP_OIL_OLD,2035,0
RE1,PHL_POW_CHP_OIL_OLD,2036,0
RE1,PHL_POW_CHP_OIL_OLD,2037,0
RE1,PHL_POW_CHP_OIL_OLD,2038,0
RE1,PHL_POW_CHP_OIL_OLD,2039,0
RE1,PHL_POW_CHP_OIL_OLD,2040,0
RE1,PHL_POW_CHP_OIL_OLD,2041,0
RE1,PHL_POW_CHP_OIL_OLD,2042,0
RE1,PHL_POW_CHP_OIL_OLD,2043,0
RE1,PHL_POW_CHP_OIL_OLD,2044,0
RE1,PHL_POW_CHP_OIL_OLD,2045,0
RE1,PHL_POW_CHP_OIL_OLD,2046,0
RE1,PHL_POW_CHP_OIL_OLD,2047,0
RE1,PHL_POW_CHP_OIL_OLD,2048,0
RE1,PHL_POW_CHP_OIL_OLD,2049,0
RE1,PHL_POW_CHP_OIL_OLD,2050,0
RE1,PHL_POW_CHP_OIL_OLD,2051,0
RE1,PHL_POW_CHP_OIL_OLD,2052,0
RE1,PHL_POW_CHP_OIL_OLD,2053,0
RE1,PHL_POW_DAC,2020,0
RE1,PHL_POW_DAC,2021,0
RE1,PHL_POW_DAC,2022,0
RE1,PHL_POW_DAC,2023,0
RE1,PHL_POW_DAC,2024,0
RE1,PHL_POW_DAC,2025,0
RE1,PHL_POW_DAC,2026,0
RE1,PHL_POW_DAC,2027,0
RE1,PHL_POW_DAC,2028,0
RE1,PHL_POW_DAC,2029,0
RE1,PHL_POW_DAC,2030,0
RE1,PHL_POW_DAC,2031,0
RE1,PHL_POW_DAC,2032,0
RE1,PHL_POW_DAC,2033,0
RE1,PHL_POW_DAC,2034,0
RE1,PHL_POW_DAC,2035,0
RE1,PHL_POW_DAC,2036,0
RE1,PHL_POW_DAC,2037,0
RE1,PHL_POW_DAC,2038,0
RE1,PHL_POW_DAC,2039,0
RE1,PHL_POW_DAC,2040,0
RE1,PHL_POW_DAC,2041,0
RE1,PHL_POW_DAC,2042,0
RE1,PHL_POW_DAC,2043,0
RE1,PHL_POW_DAC,2044,0
RE1,PHL_POW_DAC,2045,0
RE1,PHL_POW_DAC,2046,0
RE1,PHL_POW_DAC,2047,0
RE1,PHL_POW_DAC,2048,0
RE1,PHL_POW_DAC,2049,0
RE1,PHL_POW_DAC,2050,0
RE1,PHL_POW_DAC,2051,0
RE1,PHL_POW_DAC,2052,0
RE1,PHL_POW_DAC,2053,0
RE1,PHL_POW_TD,2020,0
RE1,PHL_POW_TD,2021,0
RE1,PHL_POW_TD,2022,0
RE1,PHL_POW_TD,2023,0
RE1,PHL_POW_TD,2024,0
RE1,PHL_POW_TD,2025,0.2627
RE1,PHL_POW_TD,2026,0.7524
RE1,PHL_POW_TD,2027,0.7524
RE1,PHL_POW_TD,2028,0.7524
RE1,PHL_POW_TD,2029,0.7524
RE1,PHL_POW_TD,2030,0.7524
RE1,PHL_POW_TD,2031,1.0521
RE1,PHL_POW_TD,2032,0.7463
RE1,PHL_POW_TD,2033,0.9161
RE1,PHL_POW_TD,2034,0.942
RE1,PHL_POW_TD,2035,0.942
RE1,PHL_POW_TD,2036,1.1287
RE1,PHL_POW_TD,2037,1.1287
RE1,PHL_POW_TD,2038,1.0656
RE1,PHL_POW_TD,2039,1.0179
RE1,PHL_POW_TD,2040,1.0161
RE1,PHL_POW_TD,2041,0
RE1,PHL_POW_TD,2042,0
RE1,PHL_POW_TD,2043,0
RE1,PHL_POW_TD,2044,0
RE1,PHL_POW_TD,2045,0
RE1,PHL_POW_TD,2046,0
RE1,PHL_POW_TD,2047,0
RE1,PHL_POW_TD,2048,0
RE1,PHL_POW_TD,2049,0
RE1,PHL_POW_TD,2050,13.2166
RE1,PHL_POW_TD,2051,1.1981
RE1,PHL_POW_TD,2052,1.2412
RE1,PHL_POW_TD,2053,1.2408
RE1,PHL_POW_PP_WON_T1,2020,0.2391
RE1,PHL_POW_PP_WON_T1,2021,0.1552
RE1,PHL_POW_PP_WON_T1,2022,0
RE1,PHL_POW_PP_WON_T1,2023,0.0246
RE1,PHL_POW_PP_WON_T1,2024,0
RE1,PHL_POW_PP_WON_T1,2025,0
RE1,PHL_POW_PP_WON_T1,2026,0
RE1,PHL_POW_PP_WON_T1,2027,0
RE1,PHL_POW_PP_WON_T1,2028,0
RE1,PHL_POW_PP_WON_T1,2029,0
RE1,PHL_POW_PP_WON_T1,2030,0
RE1,PHL_POW_PP_WON_T1,2031,0
RE1,PHL_POW_PP_WON_T1,2032,0
RE1,PHL_POW_PP_WON_T1,2033,0
RE1,PHL_POW_PP_WON_T1,2034,0
RE1,PHL_POW_PP_WON_T1,2035,0
RE1,PHL_POW_PP_WON_T1,2036,0
RE1,PHL_POW_PP_WON_T1,2037,0
RE1,PHL_POW_PP_WON_T1,2038,0
RE1,PHL_POW_PP_WON_T1,2039,0
RE1,PHL_POW_PP_WON_T1,2040,0
RE1,PHL_POW_PP_WON_T1,2041,0
RE1,PHL_POW_PP_WON_T1,2042,0
RE1,PHL_POW_PP_WON_T1,2043,0
RE1,PHL_POW_PP_WON_T1,2044,0
RE1,PHL_POW_PP_WON_T1,2045,0
RE1,PHL_POW_PP_WON_T1,2046,0
RE1,PHL_POW_PP_WON_T1,2047,0
RE1,PHL_POW_PP_WON_T1,2048,0
RE1,PHL_POW_PP_WON_T1,2049,0
RE1,PHL_POW_PP_WON_T1,2050,0
RE1,PHL_POW_PP_WON_T1,2051,0
RE1,PHL_POW_PP_WON_T1,2052,0
RE1,PHL_POW_PP_WON_T1,2053,0
RE1,PHL_POW_PP_WOF_T1,2020,0
RE1,PHL_POW_PP_WOF_T1,2021,0
RE1,PHL_POW_PP_WOF_T1,2022,0
RE1,PHL_POW_PP_WOF_T1,2023,0
RE1,PHL_POW_PP_WOF_T1,2024,0
RE1,PHL_POW_PP_WOF_T1,2025,0
RE1,PHL_POW_PP_WOF_T1,2026,0
RE1,PHL_POW_PP_WOF_T1,2027,0
RE1,PHL_POW_PP_WOF_T1,2028,0
RE1,PHL_POW_PP_WOF_T1,2029,0
RE1,PHL_POW_PP_WOF_T1,2030,0
RE1,PHL_POW_PP_WOF_T1,2031,0
RE1,PHL_POW_PP_WOF_T1,2032,0
RE1,PHL_POW_PP_WOF_T1,2033,0
RE1,PHL_POW_PP_WOF_T1,2034,0
RE1,PHL_POW_PP_WOF_T1,2035,0
RE1,PHL_POW_PP_WOF_T1,2036,0
RE1,PHL_POW_PP_WOF_T1,2037,0
RE1,PHL_POW_PP_WOF_T1,2038,0
RE1,PHL_POW_PP_WOF_T1,2039,0
RE1,PHL_POW_PP_WOF_T1,2040,0
RE1,PHL_POW_PP_WOF_T1,2041,0
RE1,PHL_POW_PP_WOF_T1,2042,0
RE1,PHL_POW_PP_WOF_T1,2043,0
RE1,PHL_POW_PP_WOF_T1,2044,0
RE1,PHL_POW_PP_WOF_T1,2045,0
RE1,PHL_POW_PP_WOF_T1,2046,0
RE1,PHL_POW_PP_WOF_T1,2047,0
RE1,PHL_POW_PP_WOF_T1,2048,0
RE1,PHL_POW_PP_WOF_T1,2049,0
RE1,PHL_POW_PP_WOF_T1,2050,0
RE1,PHL_POW_PP_WOF_T1,2051,0
RE1,PHL_POW_PP_WOF_T1,2052,0
RE1,PHL_POW_PP_WOF_T1,2053,0
RE1,PHL_POW_PP_SPV_T1,2020,0
RE1,PHL_POW_PP_SPV_T1,2021,0.3024
RE1,PHL_POW_PP_SPV_T1,2022,0.3049
RE1,PHL_POW_PP_SPV_T1,2023,0.1568
RE1,PHL_POW_PP_SPV_T1,2024,1.0012
RE1,PHL_POW_PP_SPV_T1,2025,0.2749
RE1,PHL_POW_PP_SPV_T1,2026,0
RE1,PHL_POW_PP_SPV_T1,2027,0
RE1,PHL_POW_PP_SPV_T1,2028,0
RE1,PHL_POW_PP_SPV_T1,2029,0
RE1,PHL_POW_PP_SPV_T1,2030,7.959
RE1,PHL_POW_PP_SPV_T1,2031,3.1224
RE1,PHL_POW_PP_SPV_T1,2032,0
RE1,PHL_POW_PP_SPV_T1,2033,0
RE1,PHL_POW_PP_SPV_T1,2034,0
RE1,PHL_POW_PP_SPV_T1,2035,0
RE1,PHL_POW_PP_SPV_T1,2036,2.9871
RE1,PHL_POW_PP_SPV_T1,2037,10.6223
RE1,PHL_POW_PP_SPV_T1,2038,0
RE1,PHL_POW_PP_SPV_T1,2039,0
RE1,PHL_POW_PP_SPV_T1,2040,4.2366
RE1,PHL_POW_PP_SPV_T1,2041,0
RE1,PHL_POW_PP_SPV_T1,2042,0
RE1,PHL_POW_PP_SPV_T1,2043,0.1204
RE1,PHL_POW_PP_SPV_T1,2044,0.2175
RE1,PHL_POW_PP_SPV_T1,2045,0.4034
RE1,PHL_POW_PP_SPV_T1,2046,1.1085
RE1,PHL_POW_PP_SPV_T1,2047,0.4976
RE1,PHL_POW_PP_SPV_T1,2048,0.456
RE1,PHL_POW_PP_SPV_T1,2049,0.4803
RE1,PHL_POW_PP_SPV_T1,2050,27.8503
RE1,PHL_POW_PP_SPV_T1,2051,2.4426
RE1,PHL_POW_PP_SPV_T1,2052,2.5592
RE1,PHL_POW_PP_SPV_T1,2053,2.4099
RE1,PHL_POW_PP_NUSMR,2020,0
RE1,PHL_POW_PP_NUSMR,2021,0
RE1,PHL_POW_PP_NUSMR,2022,0
RE1,PHL_POW_PP_NUSMR,2023,0
RE1,PHL_POW_PP_NUSMR,2024,0
RE1,PHL_POW_PP_NUSMR,2025,0
RE1,PHL_POW_PP_NUSMR,2026,0
RE1,PHL_POW_PP_NUSMR,2027,0
RE1,PHL_POW_PP_NUSMR,2028,0
RE1,PHL_POW_PP_NUSMR,2029,0
RE1,PHL_POW_PP_NUSMR,2030,0
RE1,PHL_POW_PP_NUSMR,2031,0
RE1,PHL_POW_PP_NUSMR,2032,0
RE1,PHL_POW_PP_NUSMR,2033,0
RE1,PHL_POW_PP_NUSMR,2034,0
RE1,PHL_POW_PP_NUSMR,2035,0
RE1,PHL_POW_PP_NUSMR,2036,0
RE1,PHL_POW_PP_NUSMR,2037,0
RE1,PHL_POW_PP_NUSMR,2038,0
RE1,PHL_POW_PP_NUSMR,2039,0
RE1,PHL_POW_PP_NUSMR,2040,0
RE1,PHL_POW_PP_NUSMR,2041,0
RE1,PHL_POW_PP_NUSMR,2042,0
RE1,PHL_POW_PP_NUSMR,2043,0
RE1,PHL_POW_PP_NUSMR,2044,0
RE1,PHL_POW_PP_NUSMR,2045,0
RE1,PHL_POW_PP_NUSMR,2046,0
RE1,PHL_POW_PP_NUSMR,2047,0
RE1,PHL_POW_PP_NUSMR,2048,0
RE1,PHL_POW_PP_NUSMR,2049,0
RE1,PHL_POW_PP_NUSMR,2050,0
RE1,PHL_POW_PP_NUSMR,2051,0
RE1,PHL_POW_PP_NUSMR,2052,0
RE1,PHL_POW_PP_NUSMR,2053,0
RE1,PHL_POW_PP_NU,2020,0
